Kabupaten/Kota,Tahun,APS,Penduduk Miskin,Kepadatan Penduduk,IPM,Rasio Murid-Guru,PDRB per Kapita,UMR,TPT,RataRataLamaSekolah
Ciamis,2019,0.48,79.4,845,70.39,15,26273,1733162.42,5.16,7.69
Ciamis,2020,0.01,91.4,869,70.49,17,26048,1880654.54,5.66,7.7
Ciamis,2021,0.09,96.6,875,70.93,18,27218,1880654.54,5.06,7.9
Cianjur,2018,0.87,221.6,589,64.62,21,19009,2162366.91,10.23,6.93
Cianjur,2019,0.65,207.1,589,65.38,20,20373,2336004.97,9.81,6.97
Cianjur,2020,0.43,234.5,645,65.36,20,19239,2534798.99,11.05,7.18
Cianjur,2021,0.28,260,653,65.56,23,20002,2534798.99,9.32,7.19
Cilacap,2018,0.13,193.18,804,69.56,16,63797,1841209,7.49,6.92
Cilacap,2019,0.34,185.18,813,69.98,16,66393,1989058.08,7.24,6.93
Cilacap,2020,0.06,198.60,915,69.95,15,54235,2158327,9.1,6.97
Cilacap,2021,0.05,201.71,924.38,70.42,17,56147,2228904,9.97,7.09
Cirebon,2018,0.12,232.4,2210,68.05,19,20908,1873701.81,10.64,6.62
Cirebon,2019,0.54,217.6,2227,68.69,15,22506,2024160.07,10.35,6.71
Cirebon,2020,0.28,247.9,2306,68.75,17,21869,2196416.09,11.52,6.92
Cirebon,2021,0.07,271,2327,69.12,19,22833,2269556.75,10.38,7.1
Demak,2018,0.45,144.12,1283,71.26,20,21210,2065490,7.03,7.48
Demak,2019,0.75,137.6,1292,71.87,20,22623,2240000,5.42,7.55
Demak,2020,0.04,146.87,1338,72.22,17,22097,2432000,7.31,7.71
Demak,2021,0.05,151.74,1346.91,72.57,17,22804,2511526,5.28,7.86
Garut,2018,0.41,241.3,848,65.42,18,20349,1672947.97,7.12,7.5
Garut,2019,0.45,235.2,853,66.22,16,22116,1807285.69,7.35,7.51
Garut,2020,0.21,262.8,841,66.12,19,22480,1961085.7,8.95,7.52
Garut,2021,0.17,281.4,847,66.45,21,23356,1961085.7,8.68,7.53
Gresik,2018,0.29,154.02,1090,75.28,17,100252,3580370.64,5.71,8.96
Gresik,2019,0.32,148.61,1102,76.1,18,105676,3867874.4,5.4,9.92
Gresik,2020,0.03,164.05,1101,76.11,17,102623,4197030.51,8.21,9.3
Gresik,2021,0.06,166.35,1109,76.5,16,109373,4297030.51,8,9.56
Grobogan,2018,0.16,168.7,694,69.32,20,18524,1560000,2.22,6.67
Grobogan,2019,0.22,161.92,684,69.86,21,19891,1685500,3.54,6.86
Grobogan,2020,0.02,172.26,722,69.87,19,18789,1830000,4.5,6.91
Grobogan,2021,0.02,175.72,725.41,70.41,19,19725,1890000,4.38,7.11
Gunungkidul,2018,0.02,125.76,496,69.24,13,23808.04,1454200,2.07,7
Gunungkidul,2019,0.38,123.08,500,69.96,11,25152,1571000,1.92,7.13
Gunungkidul,2020,,127.61,503,69.98,11,25446,1705000,2.16,7.21
Gunungkidul,2021,0.02,135.33,510,70.16,13,26931,1842460,2.2,7.3
Indramayu,2018,0.27,204.2,843,66.36,16,43579,1960301.47,8.46,5.98
Indramayu,2019,0.38,191.9,847,66.97,13,46279,2117713.68,8.35,5.99
Indramayu,2020,0.21,220.3,899,67.29,16,43308,2297931.11,9.21,6.3
Indramayu,2021,0.12,228.6,907,67.64,18,44072,2373073.46,8.3,6.52
Jakarta Barat,2018,0.02,86.42,19757,80.88,15,155171,3648035.82,5,10.38
Jakarta Barat,2019,0.11,84.02,20813,81.21,14,181610,3940973.096,5.21,10.4
Jakarta Barat,2020,0.56,110.9,19564,81.38,14,192976,4276349.906,12.27,10.63
Jakarta Barat,2021,0.3,113.37,19608,81.76,15,202371,4416186.548,9.06,10.78
Jakarta Pusat,2018,0.02,33.19,19212,81.01,16,631358,3648035.82,6.64,11.24
Jakarta Pusat,2019,0.07,34.13,17719,81.24,15,769828,3940973.096,7.51,11.25
Jakarta Pusat,2020,0.6,41.92,20177,81.39,15,665830,4276349.906,10.97,11.38
Jakarta Pusat,2021,0.23,45.1,20360,81.56,16,682994,4416186.548,7.75,11.39
Jakarta Selatan,2018,0.01,63.38,15900,84.44,16,239134,3648035.82,6.31,11.57
Jakarta Selatan,2019,0.1,61.76,14675,84.75,15,283970,3940973.096,6.84,11.62
Jakarta Selatan,2020,0.61,78.09,14430,84.72,15,289570,4276349.906,10.79,11.63
Jakarta Selatan,2021,0.12,81.5,14475,84.9,16,299331,4416186.548,7.33,11.64
Jakarta Timur,2018,0.05,91.38,15508,82.06,17,143358,3648035.82,6.67,11.64
Jakarta Timur,2019,0.06,91.61,16080,82.69,15,168094,3940973.096,6.15,11.65
Jakarta Timur,2020,1.45,122.73,16624,82.66,15,155287,4276349.906,9.29,11.66
Jakarta Timur,2021,0.31,125.37,16729,82.97,17,163795,4416186.548,8.23,11.67
Jakarta Utara,2018,0.04,95.86,12255,79.87,16,250328,3648035.82,7.01,10.69
Jakarta Utara,2019,0.08,91.09,12950,80.17,14,288449,3940973.096,6.32,10.7
Jakarta Utara,2020,0.49,123.59,12708,80.29,14,279768,4276349.906,11.79,10.8
Jakarta Utara,2021,0.21,132.73,12749,80.51,16,300342,4416186.548,9.84,10.81
Jember,2018,0.12,243.42,789,65.96,21,29505,1916983.99,4.01,6.07
Jember,2019,0.49,226.57,792,66.69,20,31498,2170917.8,3.69,6.18
Jember,2020,0.1,247.99,820,67.11,19,30023,2355662.91,5.12,6.48
Jember,2021,0.12,257.09,825,67.32,19,31787,2355662.91,5.44,6.49
Jepara,2018,0.13,86.54,1235,71.38,19,22567,1739360,3.75,7.43
Jepara,2019,0.54,83.47,1188,71.88,20,24144,1879031,2.92,7.44
Jepara,2020,0.03,91.14,1119,71.99,17,25487,2040000,6.7,7.68
Jepara,2021,0.06,95.22,1122.03,72.36,18,26963,2107000,4.23,7.79
Jombang,2018,0.15,120.19,1129,71.86,18,30097,2264135.78,4.56,8.21
Jombang,2019,0.21,116.44,1133,72.85,17,32005,2445945.88,4.28,8.53
Jombang,2020,0.05,125.94,1182,72.97,16,30303,2654095.88,7.48,8.54
Jombang,2021,0.05,127.3,1189,73.45,16,31486,2654095.88,7.09,8.55
Kab Lebak,2018,0.2,108.81,378,63.37,20,20530,2312384,7.57,6.21
Kab Lebak,2019,0.26,107.93,380,63.88,20,22097,2498068,7.96,6.31
Kab Lebak,2020,0.09,120.83,405,63.91,20,21013,2710654,9.63,6.4
Kab Lebak,2021,0.16,134.75,411,64.03,19,21781,2751314,7.86,6.41
Kab Pandeglang,2018,0.42,116.16,440,64.34,18,21657,2363549,8.19,6.72
Kab Pandeglang,2019,0.64,114.09,441,64.91,20,22919,2542539,8.67,6.96
Kab Pandeglang,2020,0.18,120.44,463,65,19,22380,2758909,9.15,7.1
Kab Pandeglang,2021,0.08,131.43,469,65.17,19,23125,2800293,7.7,7.11
Kab Serang,2018,0.98,64.46,866,65.93,18,47633,3542714,12.63,7.18
Kab Serang,2019,0.83,61.54,870,66.38,18,51095,3827193,10.58,7.33
Kab Serang,2020,0.27,74.8,936,66.7,18,47133,5152887,12.22,7.5
Kab Serang,2021,0.54,83.09,950,66.82,18,48832,4215181,10.58,7.51
Kab Tangerang,2018,0.16,190.05,3649,71.59,22,35158,3555835,9.63,8.27
Kab Tangerang,2019,0.3,193.97,3756,71.93,20,37974,3841368,8.92,8.28
Kab Tangerang,2020,0.09,242.16,3208,71.92,20,41966,4168268,13.06,8.39
Kab Tangerang,2021,0.22,272.35,3255,72.29,21,44089,4230793,9.06,8.61
Karanganyar,2018,0.01,87.79,1138,75.54,18,39046,1696000,2.28,8.51
Karanganyar,2019,0.09,84.46,1143,75.89,18,41944,1833000,3.12,8.52
Karanganyar,2020,,91.72,1202,75.86,16,39818,1989000,5.96,8.56
Karanganyar,2021,,95.41,1210.68,75.99,17,41711,2054040,5.89,8.57
Karawang,2018,0.1,188,1414,69.89,25,92272,3919291.19,9.12,7.35
Karawang,2019,0.08,173.7,1425,70.86,20,98626,4234010.27,9.68,7.65
Karawang,2020,0.24,195.4,1476,70.66,20,92130,4594324.54,11.52,7.77
Karawang,2021,0.03,210.8,1494,70.94,20,98726,"4,798,312",11.83,7.78
Kebumen,2018,0.03,208.66,932,68.8,17,21787,1560000,5.48,7.34
Kebumen,2019,0.25,201.34,989,69.6,17,23437,1686000,4.69,7.53
Kebumen,2020,0.04,211.09,1114,69.81,16,20801,1835000,6.07,7.54
Kebumen,2021,0.01,212.92,1123.93,70.05,18,21707,1895000,6.03,7.55
Kediri,2018,0.13,177.2,1131,71.07,18,24608,1713400.05,4.15,7.68
Kediri,2019,0.18,163.95,1136,71.85,20,26152,1850986.07,3.58,8.01
Kediri,2020,0.02,179.93,1180,72.05,19,24885,2008504.99,5.24,8.02
Kediri,2021,0.06,184.49,1186,72.56,19,25961,2033504.99,5.15,8.08
Kendal,2018,0.12,94.7,962,71.28,18,41021,1929458,6.02,7.05
Kendal,2019,0.94,91.2,868,71.97,18,44034,2084393.48,6.26,7.25
Kendal,2020,0.12,97.49,911,72.29,16,41895,2261775,7.56,7.45
Kendal,2021,0.07,100.00,916.73,72.5,17,44062,2335735,7.55,7.46
Kep Seribu,2018,,2.88,2774,70.91,17,301306,3648035.82,5.33,8.46
Kep Seribu,2019,,2.93,2387,71.4,16,317724,3940973.096,5.44,8.47
Kep Seribu,2020,,3.63,2726,71.63,17,234079,4276349.906,7.37,8.68
Kep Seribu,2021,,3.86,2774,72.1,17,292215,4416186.548,8.58,8.81
Klaten,2018,0.14,151.73,1787,74.79,16,31581,1661632.35,3.14,8.24
Klaten,2019,0.39,144.14,1785,75.29,17,34008,1795061.43,3.54,8.31
Klaten,2020,0.06,151.83,1915,75.56,16,31742,1947821.16,5.46,8.58
Klaten,2021,,158.23,1925.3,76.12,18,33375,2011515,5.48,8.81
Kota Bandung,2018,0.03,89.4,14932,81.06,16,105601,3091345.56,8.05,10.63
Kota Bandung,2019,0.04,84.7,14957,81.62,13,113177,3339580.61,8.18,10.74
Kota Bandung,2020,0.02,100,14557,81.51,15,116056,3623778.91,11.19,10.75
Kota Bandung,2021,0.02,112.5,14630,81.96,17,121126,3742276.48,11.46,10.99
Kota Banjar,2018,,10.4,1611,71.25,17,22463,1562730.28,5.95,8.6
Kota Banjar,2019,0.03,10.1,1613,71.75,15,23508,1688217.52,6.16,8.62
Kota Banjar,2020,0.03,11.2,1771,71.7,17,22189,1831884.83,6.73,8.63
Kota Banjar,2021,0.03,13.4,1792,71.92,17,23003,1831884.83,6.09,8.77
Kota Batu,2018,0.08,7.98,1507,75.04,15,76005,2384167.93,3.07,8.77
Kota Batu,2019,0.1,7.89,1517,75.88,16,81461,2575616.61,2.42,9.06
Kota Batu,2020,0.07,8.12,1558,75.9,17,74884,2794801.59,5.93,9.07
Kota Batu,2021,0.02,8.63,1570,76.28,17,78458,2819801.59,6.57,9.31
Kota Bekasi,2018,0.02,119.8,14190,81.04,18,31031,3915353.71,9.14,11.09
Kota Bekasi,2019,0.04,113.7,14539,81.59,15,33330,4229756.61,8.3,11.1
Kota Bekasi,2020,0.02,134,12311,81.5,17,38000,4589708.9,10.68,11.16
Kota Bekasi,2021,0.26,144.1,12414,81.95,19,39529,"4,782,935.64",10.88,11.31
Kota Blitar,2018,,10.47,4329,77.58,17,44702,1640439.34,3.98,9.9
Kota Blitar,2019,0.15,10.1,4356,78.56,17,47841,1801406.09,4.54,10.1
Kota Blitar,2020,0.02,11.1,4579,78.57,16,45090,1954705.75,6.68,10.11
Kota Blitar,2021,,11.33,4617,78.98,17,47307,2004705.75,6.61,10.35
Kota Bogor,2018,0.3,64.9,9256,75.66,16,38530,3557146.66,9.74,10.3
Kota Bogor,2019,0.04,64,9385,76.23,13,42403,3842785.54,9.16,10.32
Kota Bogor,2020,0.14,75,8802,76.11,16,44101,4169806.58,12.68,10.33
Kota Bogor,2021,0.01,80.1,8881,76.59,18,45920,4169806.58,11.79,10.53
Kota Cilegon,2018,0.25,13.96,2458,72.65,13,224690,3622215,9.21,9.73
Kota Cilegon,2019,0.27,13.2,2491,73.01,13,238196,3913078,9.64,9.74
Kota Cilegon,2020,0.03,16.31,2478,73.05,12,237880,4246081,12.69,9.87
Kota Cilegon,2021,0.03,18.89,2517,73.35,13,250327,4309773,10.13,10.08
Kota Cimahi,2018,0.01,29.9,15478,77.56,17,48107,2678028.45,8,10.94
Kota Cimahi,2019,0.08,26.9,15643,78.11,14,54268,2893074.13,8.09,10.95
Kota Cimahi,2020,0.07,31.6,14474,77.83,17,56715,3139274.74,13.3,10.96
Kota Cimahi,2021,,32.5,14556,78.06,19,59929,3241929,13.07,11.08
Kota Cirebon,2018,0.07,28,8466,74.35,17,68419,1893383.54,9.07,9.89
Kota Cirebon,2019,0.2,26.8,8547,74.92,13,74398,2045422.24,9.04,9.9
Kota Cirebon,2020,0.05,30.6,8921,74.89,16,70472,2219487.67,10.97,9.91
Kota Cirebon,2021,0.02,32,9017,75.25,18,72714,2271201.73,10.53,10.12
Kota Depok,2018,0.2,49.4,11635,80.29,22,27620,3584700.29,6.66,10.85
Kota Depok,2019,0.04,49.4,12017,80.82,18,30079,3872551.72,6.12,11
Kota Depok,2020,0.06,60.4,10267,80.97,19,34356,4202105.87,9.87,11.28
Kota Depok,2021,0.09,63.9,10415,81.37,22,35655,4339514.73,9.76,11.46
Kota Kediri,2018,0.08,21.9,4511,77.58,18,447216,1758117.91,3.56,9.91
Kota Kediri,2019,0.18,20.54,4533,78.08,19,483982,1899294.78,4.15,9.92
Kota Kediri,2020,0.04,22.19,4524,78.23,18,462199,2060924.76,6.21,9.93
Kota Kediri,2021,0.06,22.55,4542,78.6,18,491270,2085924.76,6.37,10.15
Kota Madiun,2018,0.02,7.92,5218,80.33,14,74302,1640439.34,3.8,11.11
Kota Madiun,2019,0.15,7.69,5218,80.88,15,79654,1801406.09,3.96,11.13
Kota Madiun,2020,0.09,8.83,5754,80.91,15,70745,1954705.75,8.32,11.14
Kota Madiun,2021,,9.06,5805,81.25,15,74650,1954705.75,8.15,11.37
Kota Magelang,2018,0.02,9.59,6726,78.31,14,67295,1580000,4.78,10.31
Kota Magelang,2019,,9.1,7603,78.8,13,72447,1707000,4.37,10.33
Kota Magelang,2020,0.02,9.27,7567,78.99,13,71702,1853000,8.59,10.39
Kota Magelang,2021,0.02,9.44,7572.23,79.43,15,75477,1914000,8.73,10.62
Kota Malang,2018,0.09,35.49,5961,80.89,16,78161,2470073.29,6.65,10.16
Kota Malang,2019,0.15,35.39,5993,81.32,17,83528,2668420.18,5.88,10.17
Kota Malang,2020,0.04,38.77,5808,81.45,17,85540,2895502.73,9.61,10.18
Kota Malang,2021,0.06,40.62,5816,82.04,16,90679,2970502.73,9.65,10.41
Kota Mojokerto,2018,,7.04,7772,77.14,16,49370,1886387.56,2.44,9.99
Kota Mojokerto,2019,0.18,6.63,7833,77.96,16,52536,2263665.07,2.63,10.24
Kota Mojokerto,2020,,8.09,6553,78.04,16,49840,2456302.97,6.74,10.25
Kota Mojokerto,2021,,8.37,6594,78.43,16,52041,2481302.97,6.87,10.47
Kota Pasuruan,2018,0.1,13.45,5639,74.78,16,38714,2067612.56,4.5,9.1
Kota Pasuruan,2019,0.14,12.92,5679,75.25,16,41325,2575616.61,4.89,9.11
Kota Pasuruan,2020,0.12,13.4,5894,75.26,16,38774,2794801.59,6.33,9.12
Kota Pasuruan,2021,0.05,13.97,5937,75.62,17,40525,2819801.59,6.23,9.33
Kota Pekalongan,2018,0.05,20.52,6772,74.24,16,33136,1765178.63,6.08,8.57
Kota Pekalongan,2019,0.19,20.21,6787,74.77,15,35593,1906922.47,5.8,8.71
Kota Pekalongan,2020,,22.16,6788,74.98,14,35261,2072000,7.02,8.96
Kota Pekalongan,2021,,23.49,6813.48,75.4,15,37068,2139754,6.89,9.18
Kota Probolinggo,2018,0.13,16.9,4147,72.53,15,44732,1886387.56,3.56,8.49
Kota Probolinggo,2019,0.34,16.37,4186,73.27,16,47804,2137864.48,4.25,8.69
Kota Probolinggo,2020,,17.72,4229,73.27,15,46302,2319796.75,6.7,8.7
Kota Probolinggo,2021,0.54,17.91,4256,73.66,19,48507,2350000.00,6.55,8.95
Kota Salatiga,2018,,9.24,3617,82.41,16,64410,1735930.06,4.23,10.4
Kota Salatiga,2019,0.05,9.21,3384,83.12,17,68886,1875325.24,4.33,10.41
Kota Salatiga,2020,0.07,9.69,3353,83.14,15,69142,2034915.42,7.44,10.42
Kota Salatiga,2021,0.02,10.14,3373.87,83.6,16,72376,2101457,7.26,10.66
Kota Semarang,2018,0.01,73.65,4780,82.72,17,98103,2310087.5,5.21,10.51
Kota Semarang,2019,0.09,71.97,4853,83.19,16,105935,2498587.53,4.5,10.52
Kota Semarang,2020,0.02,79.58,4424,83.05,15,114205,2715000,9.57,10.53
Kota Semarang,2021,0.01,84.45,4431.92,83.55,16,123983,2810025,9.54,10.78
Kota Serang,2018,0.05,36.21,2541,71.68,18,42757,3116276,8.1,8.62
Kota Serang,2019,0.57,36.21,2582,72.1,18,45977,3366512,8.07,8.67
Kota Serang,2020,0.11,42.24,2595,72.16,18,45847,3773940,9.26,8.76
Kota Serang,2021,0.22,47.91,2642,72.44,18,47327,3830549,9.41,8.89
Kota Sukabumi,2018,0.08,23.2,6762,73.55,17,35163,2158430.53,8.57,9.53
Kota Sukabumi,2019,0.39,21.9,6812,74.31,13,37928,2331752.5,8.49,9.58
Kota Sukabumi,2020,0.45,25.4,7178,74.21,17,35926,2530182.63,12.17,9.59
Kota Sukabumi,2021,0.11,27.2,7271,74.6,18,37209,2530182.63,10.78,9.81
Kota Surabaya,2018,0.03,140.81,8233,81.74,18,186739,3583312.61,6.01,10.46
Kota Surabaya,2019,0.18,130.55,8262,82.22,19,200359,3871052.61,5.76,10.47
Kota Surabaya,2020,0.05,145.67,8200,82.23,17,193010,4200479.19,9.79,10.49
Kota Surabaya,2021,0.06,152.49,8217,82.31,17,204920,4300479.19,9.68,10.5
Kota Surakarta,2018,0.02,46.99,11762,81.46,15,85791,1668700,4.35,10.53
Kota Surakarta,2019,0.1,45.18,11293,81.86,15,92835,1802700,4.16,10.54
Kota Surakarta,2020,0.02,47.03,11353,82.21,15,91171,1956200,7.92,10.69
Kota Surakarta,2021,,48.79,11361.18,82.62,16,96363,2013810,7.85,10.9
Kota Tangerang,2018,0.07,103.49,14197,77.92,18,73839,3582077,7.39,10.51
Kota Tangerang,2019,0.1,98.37,14486,78.43,19,78047,3869717,7.14,10.65
Kota Tangerang,2020,0.03,118.22,12314,78.25,18,75897,4199029,8.63,10.69
Kota Tangerang,2021,0.03,134.24,12421,78.5,19,78628,4262015,9.07,10.83
Kota Tangerang Selatan,2018,0.03,28.21,11525,81.17,17,44239,3555835,4.67,11.78
Kota Tangerang Selatan,2019,0.11,29.16,11875,81.48,16,49345,3841368,4.78,11.8
Kota Tangerang Selatan,2020,0.03,40.99,9201,81.36,15,60996,4168268,8.48,11.81
Kota Tangerang Selatan,2021,0.01,44.57,9278,81.6,17,64337,4230793,8.6,11.82
Kota Tasikmalaya,2018,0.01,84.2,3862,72.03,17,30145,1931435.35,6.89,9.04
Kota Tasikmalaya,2019,0.03,77,3866,72.84,15,32213,2086529.61,6.78,9.13
Kota Tasikmalaya,2020,0.01,86.1,4173,73.04,18,30223,2264093.28,7.99,9.33
Kota Tasikmalaya,2021,0.02,89.5,4218,73.31,18,31558,2264093.28,7.66,9.52
Kota Tegal,2018,0.02,19.44,7220,74.44,15,56644,1630500,7.81,8.3
Kota Tegal,2019,1.19,18.64,6298,74.93,17,61475,1762000,8.08,8.31
Kota Tegal,2020,0.05,19.55,6901,75.07,15,55724,1925000,8.4,8.51
Kota Tegal,2021,0.02,20.27,6950.13,75.52,17,58079,1982750,8.25,8.73
Kota Yogyakarta,2018,0.02,29.75,13154,86.11,14,79035.65,1709150,6.22,11.44
Kota Yogyakarta,2019,0.07,29.45,13290,86.65,13,84227,1848400,4.8,11.45
Kota Yogyakarta,2020,,31.62,11495,86.61,13,95681,2004000,9.16,11.46
Kota Yogyakarta,2021,0.01,34.07,11579,87.18,14,102084,2069530,9.13,11.72
Kudus,2018,0.06,59.99,2026,74.58,18,120795,1892500,3.28,8.62
Kudus,2019,0.09,58,2049,74.94,19,127521,2044467.75,3.8,8.63
Kudus,2020,0.01,64.24,1997,75,17,129130,2218451.95,5.53,8.75
Kudus,2021,0.05,67.06,2005.04,75.16,18,126947,2290995,3.77,8.76
Kulonprogo,2018,,77.72,726,73.76,12,24221.56,1493250,1.49,8.65
Kulonprogo,2019,0.15,74.62,734,74.44,11,27764,1613200,1.8,8.66
Kulonprogo,2020,0.04,78.06,744,74.46,11,26772,1750500,3.71,8.86
Kulonprogo,2021,0.04,81.14,756,74.71,13,28070,1770000,3.69,9.02
Kuningan,2018,0.11,131.2,968,68.55,19,21186,1606030.12,9.1,7.36
Kuningan,2019,0.24,123.2,973,69.12,15,23152,1734994.34,9.68,7.38
Kuningan,2020,0.86,139.2,1051,69.38,18,21996,1882642.36,11.22,7.57
Kuningan,2021,,143.4,1063,69.71,19,22805,1882642.36,11.68,7.8
Lamongan,2018,0.33,164,667,71.97,14,31309,1851083.98,3.1,7.83
Lamongan,2019,0.35,157.11,667,72.57,14,33109,2233641.85,3.89,7.89
Lamongan,2020,0.09,164.68,754,72.58,14,29221,2423724.77,5.13,7.92
Lamongan,2021,0.09,166.82,761,73.12,13,30267,2488724.77,4.9,8.04
Lumajang,2018,0.09,103.69,581,64.83,17,29516,1691041.12,2.46,6.21
Lumajang,2019,0.44,98.88,582,65.33,17,31293,1826831.72,2.73,6.22
Lumajang,2020,0.09,102.6,625,65.46,17,28707,1982295.10,3.36,6.4
Lumajang,2021,0.07,105.25,629,66.07,17,29881,1982295.10,3.51,6.67
Madiun,2018,,77.75,656,71.01,16,25882,1576892.91,3.71,7.57
Madiun,2019,0.22,71.91,658,71.69,16,27724,1763267.65,3.52,7.8
Madiun,2020,0.03,78.3,717,71.73,16,25475,1913321.73,4.8,7.81
Madiun,2021,0.06,81.61,723,71.88,17,26342,1951588.16,4.99,7.82
Magelang,2018,0.07,143.44,1179,69.11,18,23710,1742000,2.89,7.57
